,ranking,type,average_mtow_ton,total_movements,compared_to_2020_%
0,1,Boeing 737-800,73,56866,0.33
1,2,Embraer 190,45,39635,0.13
2,3,Embraer 175,37,32495,0.31
3,4,Boeing 737-700,62,18743,-0.06
4,5,Airbus 320,75,14846,-0.1
5,6,Airbus 319,67,9436,0.04
6,7,Boeing 777-300,351,9336,0.59
7,8,Boeing 787-9,253,7321,0.2
8,9,Airbus 330-300,234,5781,0.14
9,10,Airbus 320 neo,75,5170,0.34
10,11,Embraer 295,58,4888,0.0
11,12,Boeing 787-10,254,4316,0.33
12,13,Boeing 777-200,75,4280,0.01
13,14,Boeing 737-900,78,3340,0.2
14,15,Airbus 220,67,2679,0.27
15,16,Boeing 737-max,83,2624,0.0
16,17,Airbus 330-200,228,2422,0.24
17,18,Boeing 787-8,227,2397,0.33
18,19,Airbus 350-900,275,2339,0.32
19,20,Airbus 321,88,1907,-0.47
20,21,Bombardier-CJ 900,38,1764,0.4
21,22,Bombardier-CJ 1000,39,1762,1.61
22,23,Airbus 321 neo,90,1670,0.7
23,24,Embraer 195,51,1585,-0.04
24,25,Airbus 330-900 neo,242,1458,3.56
25,26,Boeing 767-300,184,1119,-0.32
26,27,Airbus 318,61,935,0.96
27,28,Dash 8,30,328,-0.8
28,29,Embraer 170,36,328,-0.35
29,30,Airbus 340-313,275,298,1.87
